Iteration,EvaluationIndex,SelectionState,SelectionSource,FallbackUsed,FallbackReason,ObservedFeasible,CumulativeSequentialFeasible
1,11,feasibilityDiscovery,fallback,1,noFeasibleObservation,1,1
2,12,acquisition,challenger,0,,1,2
3,13,acquisition,challenger,0,,1,3
4,14,acquisition,primary,0,,1,4
5,15,acquisition,primary,0,,1,5
6,16,acquisition,primary,0,,1,6
7,17,acquisition,primary,0,,1,7
8,18,acquisition,primary,0,,1,8
9,19,acquisition,primary,0,,1,9
10,20,acquisition,primary,0,,1,10
11,21,acquisition,challenger,0,,1,11
12,22,acquisition,primary,0,,1,12
13,23,acquisition,primary,0,,1,13
14,24,acquisition,primary,0,,1,14
15,25,acquisition,primary,0,,1,15
16,26,acquisition,challenger,0,,1,16
17,27,acquisition,challenger,0,,1,17
18,28,acquisition,primary,0,,1,18
19,29,acquisition,challenger,0,,1,19
20,30,acquisition,primary,0,,1,20
