Case,Evaluation,SequentialIteration,IsFeasible,CumulativeFeasibleCount,CumulativeFeasibleRate
COSSIN1,1,0,1,1,1
COSSIN1,2,0,1,2,1
COSSIN1,3,0,1,3,1
COSSIN1,4,0,0,3,0.75
COSSIN1,5,0,1,4,0.8
COSSIN1,6,0,1,5,0.833333333333333
COSSIN1,7,0,0,5,0.714285714285714
COSSIN1,8,0,0,5,0.625
COSSIN1,9,0,0,5,0.555555555555556
COSSIN1,10,0,1,6,0.6
COSSIN1,11,0,0,6,0.545454545454545
COSSIN1,12,0,0,6,0.5
COSSIN1,13,0,0,6,0.461538461538462
COSSIN1,14,0,0,6,0.428571428571429
COSSIN1,15,0,0,6,0.4
COSSIN1,16,0,1,7,0.4375
COSSIN1,17,0,0,7,0.411764705882353
COSSIN1,18,0,0,7,0.388888888888889
COSSIN1,19,0,0,7,0.368421052631579
COSSIN1,20,0,1,8,0.4
COSSIN1,21,1,1,9,0.428571428571429
COSSIN1,22,2,1,10,0.454545454545455
COSSIN1,23,3,0,10,0.434782608695652
COSSIN1,24,4,1,11,0.458333333333333
COSSIN1,25,5,1,12,0.48
COSSIN1,26,6,1,13,0.5
COSSIN1,27,7,0,13,0.481481481481481
COSSIN1,28,8,0,13,0.464285714285714
COSSIN1,29,9,1,14,0.482758620689655
COSSIN1,30,10,1,15,0.5
COSSIN1,31,11,0,15,0.483870967741935
COSSIN1,32,12,1,16,0.5
COSSIN1,33,13,0,16,0.484848484848485
COSSIN1,34,14,1,17,0.5
COSSIN1,35,15,1,18,0.514285714285714
COSSIN1,36,16,1,19,0.527777777777778
COSSIN1,37,17,1,20,0.540540540540541
COSSIN1,38,18,1,21,0.552631578947368
COSSIN1,39,19,1,22,0.564102564102564
COSSIN1,40,20,1,23,0.575
COSSIN1,41,21,1,24,0.585365853658537
COSSIN1,42,22,1,25,0.595238095238095
COSSIN1,43,23,1,26,0.604651162790698
COSSIN1,44,24,1,27,0.613636363636364
COSSIN1,45,25,1,28,0.622222222222222
COSSIN1,46,26,0,28,0.608695652173913
COSSIN1,47,27,1,29,0.617021276595745
COSSIN1,48,28,0,29,0.604166666666667
COSSIN1,49,29,1,30,0.612244897959184
COSSIN1,50,30,0,30,0.6
COSSIN2,1,0,1,1,1
COSSIN2,2,0,1,2,1
COSSIN2,3,0,1,3,1
COSSIN2,4,0,0,3,0.75
COSSIN2,5,0,0,3,0.6
COSSIN2,6,0,0,3,0.5
COSSIN2,7,0,0,3,0.428571428571429
COSSIN2,8,0,0,3,0.375
COSSIN2,9,0,0,3,0.333333333333333
COSSIN2,10,0,0,3,0.3
COSSIN2,11,0,0,3,0.272727272727273
COSSIN2,12,0,1,4,0.333333333333333
COSSIN2,13,0,1,5,0.384615384615385
COSSIN2,14,0,0,5,0.357142857142857
COSSIN2,15,0,0,5,0.333333333333333
COSSIN2,16,0,1,6,0.375
COSSIN2,17,0,0,6,0.352941176470588
COSSIN2,18,0,1,7,0.388888888888889
COSSIN2,19,0,0,7,0.368421052631579
COSSIN2,20,0,0,7,0.35
COSSIN2,21,1,0,7,0.333333333333333
COSSIN2,22,2,0,7,0.318181818181818
COSSIN2,23,3,1,8,0.347826086956522
COSSIN2,24,4,0,8,0.333333333333333
COSSIN2,25,5,0,8,0.32
COSSIN2,26,6,0,8,0.307692307692308
COSSIN2,27,7,0,8,0.296296296296296
COSSIN2,28,8,1,9,0.321428571428571
COSSIN2,29,9,0,9,0.310344827586207
COSSIN2,30,10,1,10,0.333333333333333
COSSIN2,31,11,0,10,0.32258064516129
COSSIN2,32,12,1,11,0.34375
COSSIN2,33,13,1,12,0.363636363636364
COSSIN2,34,14,0,12,0.352941176470588
COSSIN2,35,15,1,13,0.371428571428571
COSSIN2,36,16,0,13,0.361111111111111
COSSIN2,37,17,0,13,0.351351351351351
COSSIN2,38,18,1,14,0.368421052631579
COSSIN2,39,19,0,14,0.358974358974359
COSSIN2,40,20,1,15,0.375
COSSIN2,41,21,1,16,0.390243902439024
COSSIN2,42,22,1,17,0.404761904761905
COSSIN2,43,23,1,18,0.418604651162791
COSSIN2,44,24,0,18,0.409090909090909
COSSIN2,45,25,1,19,0.422222222222222
COSSIN2,46,26,0,19,0.41304347826087
COSSIN2,47,27,0,19,0.404255319148936
COSSIN2,48,28,0,19,0.395833333333333
COSSIN2,49,29,1,20,0.408163265306122
COSSIN2,50,30,1,21,0.42
COSSIN2,51,31,0,21,0.411764705882353
COSSIN2,52,32,0,21,0.403846153846154
COSSIN2,53,33,0,21,0.39622641509434
COSSIN2,54,34,0,21,0.388888888888889
COSSIN2,55,35,1,22,0.4
COSSIN2,56,36,0,22,0.392857142857143
