Bin,LowerEdge,UpperEdge,MeanScore,ObservedFeasibleRate,Count
1,0,0.1,0.0032204766236903,0.0243316163845965,20385
2,0.1,0.2,0.150069030880567,0.129568106312292,1204
3,0.2,0.3,0.250686922551504,0.186353631694791,1363
4,0.3,0.4,0.352846584572891,0.190707725553755,1851
5,0.4,0.5,0.453653110126216,0.244891339604282,3083
6,0.5,0.6,0.542567568186437,0.705498368064273,3983
7,0.6,0.7,0.644477418851352,0.856390617520345,2089
8,0.7,0.8,0.74943616554681,0.871325930764206,1531
9,0.8,0.9,0.846439532092596,0.85239852398524,1084
10,0.9,1,0.989037268386981,0.924764890282132,3828
