Bin,LowerEdge,UpperEdge,MeanScore,ObservedFeasibleRate,Count
1,0,0.1,0.0130861254296468,0.026452814650404,2712717
2,0.1,0.2,0.147203957466811,0.0589927530694381,628128
3,0.2,0.3,0.243276524529418,0.126128769614685,378288
4,0.3,0.4,0.348736339594422,0.253589327549175,236047
5,0.4,0.5,0.449116240274671,0.360009775452115,208686
6,0.5,0.6,0.549339092250889,0.487571751383081,192505
7,0.6,0.7,0.649674280730282,0.621768819415878,182325
8,0.7,0.8,0.749989279146607,0.765339134627785,178351
9,0.8,0.9,0.85010484434094,0.870664642375169,177840
10,0.9,1,0.993304382167228,0.980347026410344,1355113
