Family,EvidenceLabel,MedianDirection,Method,Metric,LowDimension,HighDimension,ValidN,LowMedian,HighMedian,MedianHighMinusLow,PositiveDeltaCount,NegativeDeltaCount,ZeroDeltaCount
C2DTLZ2_R02,prevalence_confounded,higher_dimension_worse_metric,clipped_GP_mean,AUC,4,6,5,0.586772620600835,0.5,-0.0867726206008352,1,4,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_worse_metric,clipped_GP_mean,AveragePrecision,4,6,5,0.36908190475815,0.108245368042177,-0.259719922363504,0,5,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_higher_error_or_mass,clipped_GP_mean,BalancedBrier,4,6,5,0.239075108437557,0.438633836725172,0.204737301822929,5,0,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_higher_error_or_mass,clipped_GP_mean,BalancedError,4,6,5,0.358390895583781,0.463275575969551,0.0860239588503056,5,0,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_lower_error_or_mass,clipped_GP_mean,DomainError,4,6,5,0.133975982666016,0.0288887023925781,-0.104084014892578,0,5,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_lower_error_or_mass,clipped_GP_mean,ECE10,4,6,5,0.235008042611081,0.028076171875,-0.198868439717661,1,4,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_higher_error_or_mass,clipped_GP_mean,FalseDiscoveryRate,4,6,3,0.476000431452918,0.579536967886482,0.103536536433565,3,0,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_higher_error_or_mass,clipped_GP_mean,FalseNegativeRate,4,6,5,0.66025209838271,0.923505434782609,0.231194945666479,5,0,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_lower_error_or_mass,clipped_GP_mean,FalsePositiveRate,4,6,5,0.0565296927848529,0.00304571715649334,-0.0565296927848529,1,4,0
C2DTLZ2_R02,prevalence_confounded,higher_dimension_higher_error_or_mass,clipped_GP_mean,ZeroMass,4,6,5,0.0521583557128906,0.956493377685547,0.941619873046875,4,1,0
CF1,cleanest_dimension_contrast,higher_dimension_worse_metric,clipped_GP_mean,AUC,4,10,5,0.804784976309663,0.656535564438939,-0.129676524107454,0,5,0
CF1,cleanest_dimension_contrast,higher_dimension_worse_metric,clipped_GP_mean,AveragePrecision,4,10,5,0.74380558869097,0.679959963067014,-0.0565186803220523,0,5,0
CF1,cleanest_dimension_contrast,higher_dimension_higher_error_or_mass,clipped_GP_mean,BalancedBrier,4,10,5,0.216276007622054,0.322087592669022,0.0979467952825492,5,0,0
