ProblemId,Family,Dimension,Method,ValidN,EvidenceLabel,MedianProbeFeasibleRate,MedianPredictedFeasibleRate,MedianAUC,MedianAveragePrecision,MedianBrier,MedianBalancedBrier,MedianECE10,MedianFalsePositiveRate,MedianFalseNegativeRate,MedianFalseDiscoveryRate,MedianBalancedAccuracy,MedianBalancedError,MedianDomainError,MedianAmbiguousRate,MedianZeroMass
C2DTLZ2_D4_R02,C2DTLZ2_R02,4,clipped_GP_mean,5,prevalence_confounded,0.130435943603516,0.0934715270996094,0.586772620600835,0.36908190475815,0.169129320391084,0.239075108437557,0.235008042611081,0.0565296927848529,0.66025209838271,0.5158307744797,0.641609104416219,0.358390895583781,0.133975982666016,0.587665557861328,0.0521583557128906
C2DTLZ2_D6_R02,C2DTLZ2_R02,6,clipped_GP_mean,5,prevalence_confounded,0.028076171875,0.00510787963867188,0.5,0.108245368042177,0.028076171875,0.438633836725172,0.028076171875,0.00304571715649334,0.923505434782609,0.579536967886482,0.536724424030449,0.463275575969551,0.0288887023925781,0.0076141357421875,0.956493377685547
CF1_D4,CF1,4,clipped_GP_mean,5,cleanest_dimension_contrast,0.496562957763672,0.288341522216797,0.804784976309663,0.74380558869097,0.215577500750443,0.216276007622054,0.182405794682151,0.100346282951816,0.515422021802091,0.19108088135491,0.672053726499855,0.327946273500145,0.326766967773438,0.433605194091797,0.222362518310547
CF1_D10,CF1,10,clipped_GP_mean,5,cleanest_dimension_contrast,0.523956298828125,0.205371856689453,0.656535564438939,0.679959963067014,0.334110477256999,0.322087592669022,0.300791575645529,0.0980671837938329,0.693575630496826,0.247907083716651,0.59494974499236,0.40505025500764,0.418453216552734,0.197105407714844,0.345046997070312
MW7_D4,MW7,4,clipped_GP_mean,5,prevalence_confounded,0.0436935424804688,0.0196495056152344,0.455979628928888,0.220186411403997,0.190907255622183,0.283234361081254,0.381911770637754,0.00587578283936336,0.691898026890169,0.377886095433556,0.64443751972337,0.35556248027663,0.0402412414550781,0.811576843261719,0.0317726135253906
MW7_D6,MW7,6,clipped_GP_mean,5,prevalence_confounded,0.00637054443359375,0.00426101684570312,0.462713138033614,0.191704615282379,0.104870746135205,0.326075327536251,0.294174676240211,0.0024570590538787,0.74311377245509,0.568888888888889,0.627047581012947,0.372952418987053,0.00696182250976562,0.463272094726562,0.0315628051757812
WELDEDBEAM,WELDEDBEAM,4,clipped_GP_mean,5,unpaired_D4_reference,0.332675933837891,0.352756500244141,0.945115678038197,0.910025263287091,0.0906907925169957,0.0921004174296165,0.0724734661903405,0.0997513362105925,0.13698127486842,0.188703729737329,0.878326986184518,0.121673013815482,0.113052368164062,0.177883148193359,0.225925445556641
C2DTLZ2_D4_R02,C2DTLZ2_R02,4,offline_RF_proxy,5,prevalence_confounded,0.130435943603516,0.100841522216797,0.775975825708788,0.480298377628655,0.100617938462961,0.218192410017206,0.0955155887931743,0.0527306307057218,0.565993039511011,0.468634254746774,0.689351251215277,0.310648748784723,0.124298095703125,0.234443664550781,0
C2DTLZ2_D6_R02,C2DTLZ2_R02,6,offline_RF_proxy,5,prevalence_confounded,0.028076171875,0,0.569338747051637,0.0438814244379611,0.0277651750914231,0.477043040935838,0.0214972245065788,0,1,0.6857058596515,0.5,0.5,0.028076171875,0.00020599365234375,0.006683349609375
CF1_D4,CF1,4,offline_RF_proxy,5,cleanest_dimension_contrast,0.496562957763672,0.190586090087891,0.76684928406121,0.738615223375842,0.242075698378255,0.243047605691314,0.164741130568994,0.0634751047562759,0.692189504574752,0.198014451271992,0.612770354816854,0.387229645183146,0.384925842285156,0.404167175292969,0
CF1_D10,CF1,10,offline_RF_proxy,5,cleanest_dimension_contrast,0.523956298828125,0.315692901611328,0.711121300864733,0.735132432464803,0.223489492374612,0.22033217347573,0.0891299454371136,0.203266235015065,0.552521987302697,0.271724438996953,0.638417030580974,0.361582969419026,0.370731353759766,0.483863830566406,0
MW7_D4,MW7,4,offline_RF_proxy,5,prevalence_confounded,0.0436935424804688,0.021514892578125,0.856140340768437,0.305254652539522,0.042699651276607,0.280328817844983,0.0599532382198118,0.00995652000478679,0.786886677143356,0.44964200477327,0.600176271305062,0.399823728694938,0.0428886413574219,0.0474090576171875,0.00087738037109375
MW7_D6,MW7,6,offline_RF_proxy,5,prevalence_confounded,0.00637054443359375,0.00329208374023438,0.896160122225814,0.1699191052545,0.00840423250823891,0.340957200090857,0.0197692670267095,0.00213073089828543,0.815568862275449,0.643105446118192,0.591150203413133,0.408849796586867,0.00731277465820312,0.00807952880859375,0.245529174804688
WELDEDBEAM,WELDEDBEAM,4,offline_RF_proxy,5,unpaired_D4_reference,0.332675933837891,0.490642547607422,0.950290269953783,0.909041610902109,0.121339211768878,0.102846938516332,0.164040322417305,0.250018578329094,0.041842011718974,0.340050847852961,0.861649197918208,0.138350802081792,0.17572021484375,0.264507293701172,0
