Family,Method,Metric,LowDimension,HighDimension,ValidN,LowMedian,HighMedian,MedianDelta,MeanDelta,StdDelta,PositiveDeltaCount,NegativeDeltaCount,ZeroDeltaCount
CF1,clipped_GP_mean,AUC,4,10,5,0.804784976309663,0.656535564438939,-0.129676524107454,-0.136640085456553,0.0151225096919325,0,5,0
CF1,clipped_GP_mean,AveragePrecision,4,10,5,0.74380558869097,0.679959963067014,-0.0565186803220523,-0.0595501938349394,0.024162401803457,0,5,0
CF1,clipped_GP_mean,Brier,4,10,5,0.215577500750443,0.334110477256999,0.111217909824561,0.113447138555167,0.0195318734076632,5,0,0
CF1,clipped_GP_mean,BalancedBrier,4,10,5,0.216276007622054,0.322087592669022,0.0979467952825492,0.101132227084017,0.0183598719286162,5,0,0
CF1,clipped_GP_mean,ECE10,4,10,5,0.182405794682151,0.300791575645529,0.111899158310865,0.111162369797197,0.0337608311921702,5,0,0
CF1,clipped_GP_mean,BalancedAccuracy,4,10,5,0.672053726499855,0.59494974499236,-0.0887588664043867,-0.0825803417535819,0.0191121498523459,0,5,0
CF1,clipped_GP_mean,BalancedError,4,10,5,0.327946273500145,0.40505025500764,0.0887588664043867,0.0825803417535819,0.019112149852346,5,0,0
CF1,clipped_GP_mean,FalsePositiveRate,4,10,5,0.100346282951816,0.0980671837938329,-0.000635875885961285,-0.00708351991645432,0.0371977505688591,2,3,0
CF1,clipped_GP_mean,FalseNegativeRate,4,10,5,0.515422021802091,0.693575630496826,0.176425912407062,0.172244203423618,0.0611831260180052,5,0,0
CF1,clipped_GP_mean,FalseDiscoveryRate,4,10,5,0.19108088135491,0.247907083716651,0.0527413933817131,0.0538672559274533,0.031384214885586,5,0,0
CF1,clipped_GP_mean,DomainError,4,10,5,0.326766967773438,0.418453216552734,0.104564666748047,0.0988357543945313,0.019120459013012,5,0,0
CF1,clipped_GP_mean,ConfidentFalsePositiveRate,4,10,5,0.0438423010767354,0.0473988717225463,0.000759917014167867,0.00532093027387451,0.0130489977756375,4,1,0
CF1,clipped_GP_mean,ConfidentFalseNegativeRate,4,10,5,0.214686835009334,0.584760323839478,0.346013697476486,0.353143110657654,0.0716883750500474,5,0,0
CF1,clipped_GP_mean,PredictedFeasibleRate,4,10,5,0.288341522216797,0.205371856689453,-0.0744285583496094,-0.0842201232910156,0.047271750633599,0,5,0
CF1,clipped_GP_mean,AmbiguousRate,4,10,5,0.433605194091797,0.197105407714844,-0.216842651367188,-0.238377380371094,0.0703939554123578,0,5,0
CF1,clipped_GP_mean,ZeroMass,4,10,5,0.222362518310547,0.345046997070312,0.113113403320312,0.156158447265625,0.0850870813974231,5,0,0
CF1,clipped_GP_mean,OneMass,4,10,5,0.0112152099609375,0.0279541015625,0.0170860290527344,0.0160682678222656,0.00908601288077954,5,0,0
CF1,offline_RF_proxy,AUC,4,10,5,0.76684928406121,0.711121300864733,-0.0595011287221533,-0.0612820441123746,0.0360825395895313,0,5,0
CF1,offline_RF_proxy,AveragePrecision,4,10,5,0.738615223375842,0.735132432464803,-0.00515218067276613,-0.0222274941483869,0.0506845903198039,2,3,0
CF1,offline_RF_proxy,Brier,4,10,5,0.242075698378255,0.223489492374612,-0.00430380538388267,-0.010477141345672,0.0167782832917216,1,4,0
CF1,offline_RF_proxy,BalancedBrier,4,10,5,0.243047605691314,0.22033217347573,-0.00844665414642271,-0.0142925592666823,0.0158688729210812,0,5,0
CF1,offline_RF_proxy,ECE10,4,10,5,0.164741130568994,0.0891299454371136,-0.11882456081885,-0.0993950090912916,0.0589411419874922,0,5,0
CF1,offline_RF_proxy,BalancedAccuracy,4,10,5,0.612770354816854,0.638417030580974,0.0112062815713201,0.0202741564247212,0.0501747974246377,3,2,0
CF1,offline_RF_proxy,BalancedError,4,10,5,0.387229645183146,0.361582969419026,-0.0112062815713201,-0.0202741564247212,0.0501747974246378,2,3,0
CF1,offline_RF_proxy,FalsePositiveRate,4,10,5,0.0634751047562759,0.203266235015065,0.151179823400568,0.152943005216115,0.108627988258459,5,0,0
CF1,offline_RF_proxy,FalseNegativeRate,4,10,5,0.692189504574752,0.552521987302697,-0.139667517272055,-0.193491318065558,0.165729475591622,0,5,0
CF1,offline_RF_proxy,FalseDiscoveryRate,4,10,5,0.198014451271992,0.271724438996953,0.059305171237282,0.100438409308629,0.0899320099753933,5,0,0
CF1,offline_RF_proxy,DomainError,4,10,5,0.384925842285156,0.370731353759766,-0.010101318359375,-0.0113388061523438,0.0532576693383474,2,3,0
CF1,offline_RF_proxy,ConfidentFalsePositiveRate,4,10,5,0.0148590999674176,0.0608452464901596,0.0442282111874841,0.0481361405707498,0.0484692975842935,4,1,0
CF1,offline_RF_proxy,ConfidentFalseNegativeRate,4,10,5,0.353158537615905,0.225733880831732,-0.122230043722302,-0.167177355953634,0.136427208208513,0,5,0
CF1,offline_RF_proxy,PredictedFeasibleRate,4,10,5,0.190586090087891,0.315692901611328,0.126033782958984,0.180612945556641,0.132696372598105,5,0,0
CF1,offline_RF_proxy,AmbiguousRate,4,10,5,0.404167175292969,0.483863830566406,0.0707015991210938,0.125450897216797,0.132775531549412,4,1,0
CF1,offline_RF_proxy,ZeroMass,4,10,5,0,0,0,0,0,0,0,5
CF1,offline_RF_proxy,OneMass,4,10,5,0,0,0,0,0,0,0,5
C2DTLZ2_R02,clipped_GP_mean,AUC,4,6,5,0.586772620600835,0.5,-0.0867726206008352,-0.0866935652560782,0.0842710400001271,1,4,0
C2DTLZ2_R02,clipped_GP_mean,AveragePrecision,4,6,5,0.36908190475815,0.108245368042177,-0.259719922363504,-0.290956390582372,0.0929409066309568,0,5,0
C2DTLZ2_R02,clipped_GP_mean,Brier,4,6,5,0.169129320391084,0.028076171875,-0.131957052170194,-0.12532603080006,0.0554108033709191,0,5,0
C2DTLZ2_R02,clipped_GP_mean,BalancedBrier,4,6,5,0.239075108437557,0.438633836725172,0.204737301822929,0.196987043320568,0.0674948120896424,5,0,0
C2DTLZ2_R02,clipped_GP_mean,ECE10,4,6,5,0.235008042611081,0.028076171875,-0.198868439717661,-0.166628494216565,0.138518586434461,1,4,0
C2DTLZ2_R02,clipped_GP_mean,BalancedAccuracy,4,6,5,0.641609104416219,0.536724424030449,-0.0860239588503056,-0.102012045354193,0.0583719301826454,0,5,0
C2DTLZ2_R02,clipped_GP_mean,BalancedError,4,6,5,0.358390895583781,0.463275575969551,0.0860239588503056,0.102012045354193,0.0583719301826454,5,0,0
C2DTLZ2_R02,clipped_GP_mean,FalsePositiveRate,4,6,5,0.0565296927848529,0.00304571715649334,-0.0565296927848529,-0.0440533666659309,0.0340648449724471,1,4,0
C2DTLZ2_R02,clipped_GP_mean,FalseNegativeRate,4,6,5,0.66025209838271,0.923505434782609,0.231194945666479,0.248077457374316,0.148461542801422,5,0,0
C2DTLZ2_R02,clipped_GP_mean,FalseDiscoveryRate,4,6,3,0.476000431452918,0.579536967886482,0.103536536433565,0.254955090739369,0.301689006794176,3,0,0
C2DTLZ2_R02,clipped_GP_mean,DomainError,4,6,5,0.133975982666016,0.0288887023925781,-0.104084014892578,-0.0988105773925781,0.017726694938688,0,5,0
C2DTLZ2_R02,clipped_GP_mean,ConfidentFalsePositiveRate,4,6,5,0.0115507280073349,0.00122849158502889,-0.00966636629076488,-0.00637166365310019,0.0070168509268354,2,3,0
C2DTLZ2_R02,clipped_GP_mean,ConfidentFalseNegativeRate,4,6,5,0.365952095458135,0.885190217391304,0.620185418068026,0.588570174387333,0.179757346577833,5,0,0
C2DTLZ2_R02,clipped_GP_mean,PredictedFeasibleRate,4,6,5,0.0934715270996094,0.00510787963867188,-0.0934715270996094,-0.0790802001953125,0.0429659626812604,0,5,0
C2DTLZ2_R02,clipped_GP_mean,AmbiguousRate,4,6,5,0.587665557861328,0.0076141357421875,-0.539165496826172,-0.525682830810547,0.285218050393148,0,5,0
C2DTLZ2_R02,clipped_GP_mean,ZeroMass,4,6,5,0.0521583557128906,0.956493377685547,0.941619873046875,0.736775207519531,0.419907087792382,4,1,0
C2DTLZ2_R02,clipped_GP_mean,OneMass,4,6,5,0.010986328125,0.000568389892578125,-0.00946807861328125,-0.00806503295898437,0.00373626998443853,0,5,0
C2DTLZ2_R02,offline_RF_proxy,AUC,4,6,5,0.775975825708788,0.569338747051637,-0.161203766467862,-0.210394316012992,0.11678983271885,0,5,0
C2DTLZ2_R02,offline_RF_proxy,AveragePrecision,4,6,5,0.480298377628655,0.0438814244379611,-0.417293745787232,-0.406895732292097,0.0831072266769827,0,5,0
C2DTLZ2_R02,offline_RF_proxy,Brier,4,6,5,0.100617938462961,0.0277651750914231,-0.0654009384188739,-0.0660359184938688,0.0148053547020926,0,5,0
C2DTLZ2_R02,offline_RF_proxy,BalancedBrier,4,6,5,0.218192410017206,0.477043040935838,0.2242717442038,0.213225375562785,0.0969933335594895,5,0,0
C2DTLZ2_R02,offline_RF_proxy,ECE10,4,6,5,0.0955155887931743,0.0214972245065788,-0.0740183642865954,-0.0571853842204143,0.0332362260447507,0,5,0
C2DTLZ2_R02,offline_RF_proxy,BalancedAccuracy,4,6,5,0.689351251215277,0.5,-0.160671578198317,-0.145550037549037,0.0725011921220965,0,5,0
C2DTLZ2_R02,offline_RF_proxy,BalancedError,4,6,5,0.310648748784723,0.5,0.160671578198317,0.145550037549037,0.0725011921220965,5,0,0
C2DTLZ2_R02,offline_RF_proxy,FalsePositiveRate,4,6,5,0.0527306307057218,0,-0.047820477771364,-0.0508191177763902,0.0414304452409748,1,4,0
C2DTLZ2_R02,offline_RF_proxy,FalseNegativeRate,4,6,5,0.565993039511011,1,0.359781241774632,0.341919192874463,0.184488854949947,5,0,0
C2DTLZ2_R02,offline_RF_proxy,FalseDiscoveryRate,4,6,2,0.453628646193133,0.6857058596515,0.232077213458367,0.232077213458367,0.2173809967184,2,0,0
C2DTLZ2_R02,offline_RF_proxy,DomainError,4,6,5,0.124298095703125,0.028076171875,-0.0897865295410156,-0.0912910461425781,0.028542319203444,0,5,0
C2DTLZ2_R02,offline_RF_proxy,ConfidentFalsePositiveRate,4,6,5,0.00483875920702256,0,-0.00483875920702256,-0.00838098395576275,0.0190325415098324,1,4,0
C2DTLZ2_R02,offline_RF_proxy,ConfidentFalseNegativeRate,4,6,5,0.281548855028807,0.998913043478261,0.623960027414714,0.561815364891619,0.215000756442613,5,0,0
C2DTLZ2_R02,offline_RF_proxy,PredictedFeasibleRate,4,6,5,0.100841522216797,0,-0.0951156616210938,-0.0968368530273438,0.0482308730909605,0,5,0
C2DTLZ2_R02,offline_RF_proxy,AmbiguousRate,4,6,5,0.234443664550781,0.00020599365234375,-0.220207214355469,-0.193917083740234,0.0473524812393189,0,5,0
C2DTLZ2_R02,offline_RF_proxy,ZeroMass,4,6,5,0,0.006683349609375,0.00409698486328125,0.116199493408203,0.221247774568207,3,0,2
C2DTLZ2_R02,offline_RF_proxy,OneMass,4,6,5,0,0,0,-2.3651123046875e-05,5.5042790177697e-05,1,1,3
