ProblemId,Family,Dimension,Replicate,Status,InitialSeed,SolverSeed,ProbeSeed,RfSeed,InitialCount,SequentialBudget,TotalEvaluations,InitialFeasibleCount,FinalFeasibleCount,SequentialFeasibleCount,SequentialFeasibleRate,FirstFeasibleEvaluation,FinalParetoCount,PrimarySelections,ChallengerSelections,FallbackSelections,ProbeCount,ProbeFeasibleCount,ProbeInfeasibleCount,ProbeFeasibleRate,PofTrainingLengthMinimum,PofTrainingLengthMaximum,WallTimeSeconds,MeanAcquisitionSeconds,ResultDirectory,ResultFile,PredictionFile,ErrorIdentifier,ErrorMessage
WELDEDBEAM,WELDEDBEAM,4,1,completed,2026073201,2026073301,2026073101,2026073501,20,130,150,6,111,105,0.807692307692308,2,18,86,44,0,262144,87209,174935,0.332675933837891,0.208102538637702,0.229738749445321,41.7685459999964,0.0173079676923077,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep01\ctsemo_20260726_092310_559_seed2026073301,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep01\ctsemo_20260726_092310_559_seed2026073301\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep01\probe_predictions.mat,,
WELDEDBEAM,WELDEDBEAM,4,2,completed,2026073202,2026073302,2026073101,2026073502,20,130,150,10,107,97,0.746153846153846,1,16,87,43,0,262144,87209,174935,0.332675933837891,0.212616342336571,0.254021875901115,39.654310999997,0.0157450761538462,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep02\ctsemo_20260726_092402_909_seed2026073302,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep02\ctsemo_20260726_092402_909_seed2026073302\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep02\probe_predictions.mat,,
WELDEDBEAM,WELDEDBEAM,4,3,completed,2026073203,2026073303,2026073101,2026073503,20,130,150,6,107,101,0.776923076923077,3,17,78,52,0,262144,87209,174935,0.332675933837891,0.19161375899157,0.214333441401027,41.4363280000016,0.0157302230769231,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep03\ctsemo_20260726_092452_783_seed2026073303,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep03\ctsemo_20260726_092452_783_seed2026073303\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep03\probe_predictions.mat,,
WELDEDBEAM,WELDEDBEAM,4,4,completed,2026073204,2026073304,2026073101,2026073504,20,130,150,9,99,90,0.692307692307692,5,13,87,43,0,262144,87209,174935,0.332675933837891,0.210473230291843,0.230894840877112,43.7332829999998,0.0154113561538462,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep04\ctsemo_20260726_092543_482_seed2026073304,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep04\ctsemo_20260726_092543_482_seed2026073304\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep04\probe_predictions.mat,,
WELDEDBEAM,WELDEDBEAM,4,5,completed,2026073205,2026073305,2026073101,2026073505,20,130,150,9,100,91,0.7,1,13,83,47,0,262144,87209,174935,0.332675933837891,0.188259740860564,0.214885027510968,65.4057190000042,0.0296607453846154,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep05\ctsemo_20260726_092636_810_seed2026073305,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep05\ctsemo_20260726_092636_810_seed2026073305\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\WELDEDBEAM_rep05\probe_predictions.mat,,
CF1_D4,CF1,4,1,completed,2026073201,2026073301,2026073102,2026073601,20,130,150,10,39,29,0.223076923076923,1,18,82,48,0,262144,130171,131973,0.496562957763672,0.123448184215188,0.128571830248524,51.086201000005,0.0163835915384615,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep01\ctsemo_20260726_092752_278_seed2026073301,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep01\ctsemo_20260726_092752_278_seed2026073301\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep01\probe_predictions.mat,,
CF1_D4,CF1,4,2,completed,2026073202,2026073302,2026073102,2026073602,20,130,150,7,38,31,0.238461538461538,1,22,88,42,0,262144,130171,131973,0.496562957763672,0.13218546429666,0.143563220029348,61.911175999999,0.0205825469230769,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep02\ctsemo_20260726_092853_373_seed2026073302,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep02\ctsemo_20260726_092853_373_seed2026073302\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep02\probe_predictions.mat,,
CF1_D4,CF1,4,3,completed,2026073203,2026073303,2026073102,2026073603,20,130,150,10,47,37,0.284615384615385,3,16,83,47,0,262144,130171,131973,0.496562957763672,0.138401053587328,0.153197711589216,48.9484680000022,0.0173437792307692,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep03\ctsemo_20260726_093005_463_seed2026073303,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep03\ctsemo_20260726_093005_463_seed2026073303\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep03\probe_predictions.mat,,
CF1_D4,CF1,4,4,completed,2026073204,2026073304,2026073102,2026073604,20,130,150,10,48,38,0.292307692307692,2,16,85,45,0,262144,130171,131973,0.496562957763672,0.1387769177627,0.147848955780814,46.8991640000045,0.0156742476923077,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep04\ctsemo_20260726_093105_049_seed2026073304,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep04\ctsemo_20260726_093105_049_seed2026073304\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep04\probe_predictions.mat,,
CF1_D4,CF1,4,5,completed,2026073205,2026073305,2026073102,2026073605,20,130,150,12,42,30,0.230769230769231,1,12,81,49,0,262144,130171,131973,0.496562957763672,0.129267409103513,0.138393514895744,41.9236449999958,0.0145440569230769,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep05\ctsemo_20260726_093202_051_seed2026073305,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep05\ctsemo_20260726_093202_051_seed2026073305\result.mat,${PROJECT_ROOT}/analysis\dimension_matched_pof_study_20260726\results\matched_150eval_5seed_v2_20260726\runs\CF1_D4_rep05\probe_predictions.mat,,
