evaluation_index,added_iteration,selection_source,is_feasible
1,0,"initial",1
2,0,"initial",0
3,0,"initial",1
4,0,"initial",1
5,0,"initial",1
6,0,"initial",1
7,0,"initial",1
8,0,"initial",1
9,0,"initial",1
10,0,"initial",1
11,1,"primary",1
12,2,"primary",1
13,3,"primary",1
14,4,"primary",1
15,5,"primary",1
16,6,"primary",1
17,7,"primary",1
18,8,"primary",1
19,9,"primary",1
20,10,"primary",1
21,11,"primary",1
22,12,"primary",1
23,13,"primary",1
24,14,"challenger",1
25,15,"primary",1
26,16,"primary",1
27,17,"primary",1
28,18,"primary",1
29,19,"primary",1
30,20,"primary",1
31,21,"primary",1
32,22,"primary",1
33,23,"challenger",1
34,24,"primary",1
35,25,"primary",1
36,26,"primary",1
37,27,"primary",1
38,28,"primary",1
39,29,"primary",1
40,30,"primary",1
