evaluation_index,added_iteration,selection_source,is_feasible
1,0,"initial",1
2,0,"initial",1
3,0,"initial",1
4,0,"initial",1
5,0,"initial",1
6,0,"initial",1
7,0,"initial",1
8,0,"initial",1
9,0,"initial",1
10,0,"initial",1
11,0,"initial",1
12,0,"initial",0
13,0,"initial",1
14,0,"initial",1
15,0,"initial",1
16,1,"primary",0
17,2,"primary",1
18,3,"primary",1
19,4,"primary",1
20,5,"primary",1
21,6,"primary",0
22,7,"primary",1
23,8,"primary",1
24,9,"primary",1
25,10,"primary",1
26,11,"primary",1
27,12,"primary",1
28,13,"primary",1
29,14,"primary",1
30,15,"primary",1
31,16,"primary",1
32,17,"primary",1
33,18,"primary",1
34,19,"primary",1
35,20,"challenger",1
36,21,"primary",1
37,22,"primary",1
38,23,"challenger",1
39,24,"primary",1
40,25,"primary",1
41,26,"primary",1
42,27,"primary",1
43,28,"primary",1
44,29,"primary",1
45,30,"primary",1
46,31,"primary",1
47,32,"primary",1
48,33,"primary",1
49,34,"primary",1
50,35,"primary",1
51,36,"primary",1
52,37,"primary",1
53,38,"primary",1
54,39,"primary",1
55,40,"challenger",1
56,41,"primary",1
57,42,"primary",1
58,43,"primary",1
59,44,"primary",1
60,45,"primary",1
