evaluation_index,added_iteration,selection_source,is_feasible
1,0,"initial",1
2,0,"initial",1
3,0,"initial",1
4,0,"initial",0
5,0,"initial",0
6,0,"initial",0
7,0,"initial",0
8,0,"initial",0
9,0,"initial",0
10,0,"initial",0
11,0,"initial",0
12,0,"initial",1
13,0,"initial",1
14,0,"initial",0
15,0,"initial",0
16,0,"initial",1
17,0,"initial",0
18,0,"initial",1
19,0,"initial",0
20,0,"initial",0
21,1,"primary",0
22,2,"primary",0
23,3,"primary",1
24,4,"primary",0
25,5,"primary",0
26,6,"primary",0
27,7,"primary",1
28,8,"primary",1
29,9,"primary",1
30,10,"primary",0
31,11,"primary",0
32,12,"primary",1
33,13,"challenger",1
34,14,"primary",0
35,15,"primary",0
36,16,"primary",0
37,17,"primary",1
38,18,"primary",1
39,19,"primary",1
40,20,"primary",1
41,21,"primary",0
42,22,"primary",0
43,23,"primary",1
44,24,"primary",1
45,25,"primary",1
46,26,"primary",1
47,27,"primary",0
48,28,"primary",1
49,29,"primary",1
50,30,"primary",0
51,31,"primary",0
52,32,"primary",0
53,33,"primary",0
54,34,"primary",1
55,35,"primary",1
56,36,"primary",0
57,37,"primary",0
58,38,"primary",0
59,39,"primary",0
60,40,"primary",1
61,41,"primary",1
62,42,"primary",0
63,43,"challenger",0
64,44,"challenger",0
65,45,"primary",0
66,46,"primary",0
67,47,"challenger",0
68,48,"primary",1
69,49,"primary",0
70,50,"primary",1
71,51,"primary",1
72,52,"primary",1
73,53,"challenger",1
74,54,"primary",1
75,55,"primary",0
76,56,"primary",1
77,57,"primary",0
78,58,"primary",1
79,59,"challenger",0
80,60,"primary",1
