x_1,x_2,f_1,f_2,g_1,g_2,feasible_label_01,binary_constraint
-20,-20,927,-621,575,50,0,1
-20,20,847,-541,575,-70,0,1
20,-20,767,-261,575,90,0,1
20,20,687,-181,575,-30,0,1
-2.9851820173871531,-14.629546254008691,271.13475585267736,-271.14935426268147,-2.0650647248886571,50.903456744638923,0,1
8.6573956795551545,18.697257985670866,359.51385744555091,-235.27637909539487,199.53795613511323,-37.434378277457441,0,1
19.869468147238152,-10.825553364672601,461.16160424587838,38.981500944423885,286.98837010548579,62.346128241255954,0,1
-10.950882429118444,-3.4441319349633375,189.47566434820982,-118.30825051742698,-93.216129238190632,9.3815133757715685,0,1
-14.623993247363144,3.4483331609493426,284.35148675537965,-137.6102744932725,0.7521800878257352,-14.96899273021117,0,1
5.9527315619414765,10.99123007055621,117.44876512355495,-46.250094265313351,-68.757848487566719,-17.020958649727149,1,-1
