Family,Method,Metric,LowDimension,HighDimension,ValidN,LowMedian,HighMedian,MedianDelta,MeanDelta,StdDelta,PositiveDeltaCount,NegativeDeltaCount,ZeroDeltaCount
CF1,clipped_GP_mean,AUC,4,10,5,0.818129879344149,0.651240802093484,-0.164087527030126,-0.162681452695644,0.0305010886250216,0,5,0
CF1,clipped_GP_mean,AveragePrecision,4,10,5,0.763869082056583,0.664077265479135,-0.117239475948876,-0.0906589749394397,0.0432099552259712,0,5,0
CF1,clipped_GP_mean,Brier,4,10,5,0.218077146151497,0.349450672492295,0.127913135816281,0.141808605434364,0.0259621935637091,5,0,0
CF1,clipped_GP_mean,BalancedBrier,4,10,5,0.219076373603525,0.335814834871887,0.113144945254089,0.126546733447932,0.0244594018928175,5,0,0
CF1,clipped_GP_mean,ECE10,4,10,5,0.207409179050515,0.332860975216991,0.149200085917757,0.148300741053765,0.0285759921805272,5,0,0
CF1,clipped_GP_mean,BalancedAccuracy,4,10,5,0.668193586154459,0.554730480454184,-0.0798876418293187,-0.0874660890633227,0.0176461384912426,0,5,0
CF1,clipped_GP_mean,BalancedError,4,10,5,0.331806413845541,0.445269519545816,0.0798876418293188,0.0874660890633227,0.0176461384912426,5,0,0
CF1,clipped_GP_mean,FalsePositiveRate,4,10,5,0.0787206474051511,0.051782165523431,-0.0269384818817201,-0.0251519185908424,0.0210415944403255,1,4,0
CF1,clipped_GP_mean,FalseNegativeRate,4,10,5,0.584892180285932,0.834621993127148,0.186381990987353,0.200084096717488,0.0399212683111196,5,0,0
CF1,clipped_GP_mean,FalseDiscoveryRate,4,10,5,0.157103446262535,0.225554391478959,0.0685681013549957,0.0393443033270087,0.055452468295365,4,1,0
CF1,clipped_GP_mean,DomainError,4,10,5,0.330066680908203,0.463924407958984,0.100681304931641,0.107320404052734,0.0185890469001934,5,0,0
CF1,clipped_GP_mean,ConfidentFalsePositiveRate,4,10,5,0.0234896531866367,0.0195605487531252,-0.00647734470532376,-0.00775742608715079,0.00774005821440568,1,4,0
CF1,clipped_GP_mean,ConfidentFalseNegativeRate,4,10,5,0.256447288566578,0.673051721125284,0.414747026223675,0.439296686233768,0.0716227583989531,5,0,0
