ProblemId,Family,Dimension,Replicate,Status,InitialSeed,SolverSeed,ProbeSeed,RfSeed,InitialCount,SequentialBudget,TotalEvaluations,InitialFeasibleCount,FinalFeasibleCount,SequentialFeasibleCount,SequentialFeasibleRate,FirstFeasibleEvaluation,FinalParetoCount,PrimarySelections,ChallengerSelections,FallbackSelections,ProbeCount,ProbeFeasibleCount,ProbeInfeasibleCount,ProbeFeasibleRate,PofTrainingLengthMinimum,PofTrainingLengthMaximum,WallTimeSeconds,MeanAcquisitionSeconds,ResultDirectory,ResultFile,PredictionFile,ErrorIdentifier,ErrorMessage
WELDEDBEAM,WELDEDBEAM,4,1,completed,2026073201,2026073301,2026073101,2026073501,20,130,150,6,92,86,0.661538461538462,2,13,130,0,0,262144,87209,174935,0.332675933837891,0.20506286494656,0.219413172113269,69.1045390000045,0.264956899230769,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep01,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep01/result.mat,,,
WELDEDBEAM,WELDEDBEAM,4,2,completed,2026073202,2026073302,2026073101,2026073502,20,130,150,10,109,99,0.761538461538461,1,16,129,1,0,262144,87209,174935,0.332675933837891,0.211577053256593,0.243389574653396,68.8522190000042,0.263897400769231,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep02,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep02/result.mat,,,
WELDEDBEAM,WELDEDBEAM,4,3,completed,2026073203,2026073303,2026073101,2026073503,20,130,150,6,106,100,0.769230769230769,3,14,130,0,0,262144,87209,174935,0.332675933837891,0.193295989317568,0.214871502831731,67.0853580000028,0.255105582307692,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep03,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep03/result.mat,,,
WELDEDBEAM,WELDEDBEAM,4,4,completed,2026073204,2026073304,2026073101,2026073504,20,130,150,9,95,86,0.661538461538462,5,16,126,4,0,262144,87209,174935,0.332675933837891,0.201113642672562,0.222867293647815,66.0086469999999,0.24571511,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep04,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep04/result.mat,,,
WELDEDBEAM,WELDEDBEAM,4,5,completed,2026073205,2026073305,2026073101,2026073505,20,130,150,9,86,77,0.592307692307692,1,14,130,0,0,262144,87209,174935,0.332675933837891,0.194251967713395,0.219273922548327,65.8067939999998,0.245291616923077,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep05,manuscript/artifacts/ga_primary_dimension/runs/WELDEDBEAM_rep05/result.mat,,,
CF1_D4,CF1,4,1,completed,2026073201,2026073301,2026073102,2026073601,20,130,150,10,27,17,0.130769230769231,1,9,127,3,0,262144,130171,131973,0.496562957763672,0.12285475339732,0.129997074834986,63.3010910000056,0.227926807692308,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep01,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep01/result.mat,,,
CF1_D4,CF1,4,2,completed,2026073202,2026073302,2026073102,2026073602,20,130,150,7,40,33,0.253846153846154,1,14,129,1,0,262144,130171,131973,0.496562957763672,0.125077503783614,0.128629127231248,63.1818969999999,0.227038546153846,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep02,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep02/result.mat,,,
CF1_D4,CF1,4,3,completed,2026073203,2026073303,2026073102,2026073603,20,130,150,10,45,35,0.269230769230769,3,11,129,1,0,262144,130171,131973,0.496562957763672,0.131840217908894,0.142381383892358,65.1607969999984,0.235645813846154,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep03,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep03/result.mat,,,
CF1_D4,CF1,4,4,completed,2026073204,2026073304,2026073102,2026073604,20,130,150,10,42,32,0.246153846153846,2,12,126,4,0,262144,130171,131973,0.496562957763672,0.131927619958126,0.143152954473097,64.2663669999987,0.234401133076923,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep04,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep04/result.mat,,,
CF1_D4,CF1,4,5,completed,2026073205,2026073305,2026073102,2026073605,20,130,150,12,36,24,0.184615384615385,1,11,127,3,0,262144,130171,131973,0.496562957763672,0.119228671791112,0.128741840940652,64.4327669999972,0.231535610769231,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep05,manuscript/artifacts/ga_primary_dimension/runs/CF1_D4_rep05/result.mat,,,
CF1_D10,CF1,10,1,completed,2026073201,2026073301,2026073102,2026073601,20,130,150,5,84,79,0.607692307692308,7,10,130,0,0,262144,137352,124792,0.523956298828125,0.580015840728227,0.58725669870598,77.3161590000018,0.330675956923077,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep01,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep01/result.mat,,,
CF1_D10,CF1,10,2,completed,2026073202,2026073302,2026073102,2026073602,20,130,150,10,82,72,0.553846153846154,1,10,130,0,0,262144,137352,124792,0.523956298828125,0.596918588487973,0.599637410883949,75.3445729999989,0.32695571,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep02,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep02/result.mat,,,
CF1_D10,CF1,10,3,completed,2026073203,2026073303,2026073102,2026073603,20,130,150,9,86,77,0.592307692307692,3,15,130,0,0,262144,137352,124792,0.523956298828125,0.624149384653503,0.629486109342679,75.736625,0.327837105384615,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep03,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep03/result.mat,,,
CF1_D10,CF1,10,4,completed,2026073204,2026073304,2026073102,2026073604,20,130,150,12,82,70,0.538461538461538,1,18,130,0,0,262144,137352,124792,0.523956298828125,0.622499601190127,0.624835136547784,80.7021599999964,0.355893462307692,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep04,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep04/result.mat,,,
CF1_D10,CF1,10,5,completed,2026073205,2026073305,2026073102,2026073605,20,130,150,13,80,67,0.515384615384615,2,8,130,0,0,262144,137352,124792,0.523956298828125,0.648709516147704,0.652092405091124,76.8563479999974,0.334563293076923,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep05,manuscript/artifacts/ga_primary_dimension/runs/CF1_D10_rep05/result.mat,,,
C2DTLZ2_D4_R02,C2DTLZ2_R02,4,1,completed,2026073201,2026073301,2026073104,2026073801,20,130,150,1,74,73,0.561538461538462,4,36,127,2,1,262144,34193,227951,0.130435943603516,0.0935555055329786,0.0952644903899933,58.8965669999942,0.196960396153846,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep01,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep01/result.mat,,,
C2DTLZ2_D4_R02,C2DTLZ2_R02,4,2,completed,2026073202,2026073302,2026073104,2026073802,20,130,150,3,74,71,0.546153846153846,6,29,123,7,0,262144,34193,227951,0.130435943603516,0.113118474571672,0.115466670640683,59.2629069999978,0.202627524615385,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep02,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep02/result.mat,,,
C2DTLZ2_D4_R02,C2DTLZ2_R02,4,3,completed,2026073203,2026073303,2026073104,2026073803,20,130,150,3,79,76,0.584615384615385,9,31,129,1,0,262144,34193,227951,0.130435943603516,0.125261904630879,0.128939076957735,60.8790169999972,0.214187879230769,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep03,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep03/result.mat,,,
C2DTLZ2_D4_R02,C2DTLZ2_R02,4,4,completed,2026073204,2026073304,2026073104,2026073804,20,130,150,3,71,68,0.523076923076923,2,33,127,3,0,262144,34193,227951,0.130435943603516,0.118264708713655,0.122451252466868,61.7598959999979,0.213458342307692,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep04,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep04/result.mat,,,
C2DTLZ2_D4_R02,C2DTLZ2_R02,4,5,completed,2026073205,2026073305,2026073104,2026073805,20,130,150,1,67,66,0.507692307692308,4,39,115,5,10,262144,34193,227951,0.130435943603516,0.0932821696440624,0.0952259171430833,57.8261670000032,0.186678166923077,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep05,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D4_R02_rep05/result.mat,,,
C2DTLZ2_D6_R02,C2DTLZ2_R02,6,1,completed,2026073201,2026073301,2026073104,2026073801,20,130,150,1,71,70,0.538461538461538,4,16,88,4,38,262144,7360,254784,0.028076171875,0.201356452765495,0.201983101932039,57.5241050000042,0.184401410769231,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep01,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep01/result.mat,,,
C2DTLZ2_D6_R02,C2DTLZ2_R02,6,2,completed,2026073202,2026073302,2026073104,2026073802,20,130,150,0,0,0,0,NaN,0,0,0,130,262144,7360,254784,0.028076171875,0.783945547952932,1.08768207351363,15.2261099999994,0.00871962384615385,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep02,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep02/result.mat,,,
C2DTLZ2_D6_R02,C2DTLZ2_R02,6,3,completed,2026073203,2026073303,2026073104,2026073803,20,130,150,0,50,50,0.384615384615385,94,5,55,0,75,262144,7360,254784,0.028076171875,0.528426936818188,0.535779575118606,44.9021740000024,0.134190098461538,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep03,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep03/result.mat,,,
C2DTLZ2_D6_R02,C2DTLZ2_R02,6,4,completed,2026073204,2026073304,2026073104,2026073804,20,130,150,0,0,0,0,NaN,0,0,0,130,262144,7360,254784,0.028076171875,0.776031305640643,1.08300738885822,15.9156719999984,0.00917237615384615,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep04,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep04/result.mat,,,
C2DTLZ2_D6_R02,C2DTLZ2_R02,6,5,completed,2026073205,2026073305,2026073104,2026073805,20,130,150,0,9,9,0.0692307692307692,141,1,9,0,121,262144,7360,254784,0.028076171875,0.70218540932993,0.729166188651768,20.316263000004,0.02964218,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep05,manuscript/artifacts/ga_primary_dimension/runs/C2DTLZ2_D6_R02_rep05/result.mat,,,
MW7_D4,MW7,4,1,completed,2026073201,2026073301,2026073106,2026074001,20,130,150,1,68,67,0.515384615384615,9,14,123,6,1,262144,11454,250690,0.0436935424804688,0.086503035693039,0.106321682778188,57.1218859999925,0.174483876153846,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep01,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep01/result.mat,,,
MW7_D4,MW7,4,2,completed,2026073202,2026073302,2026073106,2026074002,20,130,150,1,46,45,0.346153846153846,18,18,127,3,0,262144,11454,250690,0.0436935424804688,0.0967724910406376,0.0989132945472972,65.9932349999994,0.241159705384615,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep02,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep02/result.mat,,,
MW7_D4,MW7,4,3,completed,2026073203,2026073303,2026073106,2026074003,20,130,150,0,48,48,0.369230769230769,42,12,102,6,22,262144,11454,250690,0.0436935424804688,0.0989183725964219,0.103441553932507,54.6745439999998,0.162803824615385,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep03,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep03/result.mat,,,
MW7_D4,MW7,4,4,completed,2026073204,2026073304,2026073106,2026074004,20,130,150,0,22,22,0.169230769230769,38,10,96,4,30,262144,11454,250690,0.0436935424804688,0.154961050974453,0.173961592950424,54.0264240000024,0.158046799230769,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep04,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep04/result.mat,,,
MW7_D4,MW7,4,5,completed,2026073205,2026073305,2026073106,2026074005,20,130,150,1,34,33,0.253846153846154,18,20,130,0,0,262144,11454,250690,0.0436935424804688,0.0892972897256045,0.0903383606516439,65.1193320000023,0.23816478,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep05,manuscript/artifacts/ga_primary_dimension/runs/MW7_D4_rep05/result.mat,,,
MW7_D6,MW7,6,1,completed,2026073201,2026073301,2026073106,2026074001,20,130,150,0,8,8,0.0615384615384615,117,5,22,0,108,262144,1670,260474,0.00637054443359375,0.802982874014436,1.00295874434038,30.9625349999964,0.0631431815384615,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep01,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep01/result.mat,,,
MW7_D6,MW7,6,2,completed,2026073202,2026073302,2026073106,2026074002,20,130,150,1,65,64,0.492307692307692,18,12,117,2,11,262144,1670,260474,0.00637054443359375,0.155325625802501,0.156972887897739,63.4046710000038,0.228494803846154,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep02,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep02/result.mat,,,
MW7_D6,MW7,6,3,completed,2026073203,2026073303,2026073106,2026074003,20,130,150,0,12,12,0.0923076923076923,129,4,21,0,109,262144,1670,260474,0.00637054443359375,0.769863292938911,0.903252870815303,27.7222430000007,0.0619762838461538,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep03,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep03/result.mat,,,
MW7_D6,MW7,6,4,completed,2026073204,2026073304,2026073106,2026074004,20,130,150,0,31,31,0.238461538461538,26,7,95,3,32,262144,1670,260474,0.00637054443359375,0.209864320708196,0.211273780670062,58.6723669999987,0.192911120769231,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep04,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep04/result.mat,,,
MW7_D6,MW7,6,5,completed,2026073205,2026073305,2026073106,2026074005,20,130,150,0,30,30,0.230769230769231,25,13,86,5,39,262144,1670,260474,0.00637054443359375,0.256222070202117,0.268989814284486,57.7172419999987,0.183875085384615,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep05,manuscript/artifacts/ga_primary_dimension/runs/MW7_D6_rep05/result.mat,,,
