ProblemId,Dimension,Replicate,AcquisitionPrimary,AcquisitionChallenger,FeasibilityDiscovery,Recovery,TotalSequential,PrimarySourceTotal,FallbackSourceTotal
WELDEDBEAM,4,1,130,0,0,0,130,130,0
WELDEDBEAM,4,2,129,1,0,0,130,129,0
WELDEDBEAM,4,3,130,0,0,0,130,130,0
WELDEDBEAM,4,4,126,4,0,0,130,126,0
WELDEDBEAM,4,5,130,0,0,0,130,130,0
CF1_D4,4,1,127,3,0,0,130,127,0
CF1_D4,4,2,129,1,0,0,130,129,0
CF1_D4,4,3,129,1,0,0,130,129,0
CF1_D4,4,4,126,4,0,0,130,126,0
CF1_D4,4,5,127,3,0,0,130,127,0
CF1_D10,10,1,130,0,0,0,130,130,0
CF1_D10,10,2,130,0,0,0,130,130,0
CF1_D10,10,3,130,0,0,0,130,130,0
CF1_D10,10,4,130,0,0,0,130,130,0
CF1_D10,10,5,130,0,0,0,130,130,0
C2DTLZ2_D4_R02,4,1,127,2,0,1,130,127,1
C2DTLZ2_D4_R02,4,2,123,7,0,0,130,123,0
C2DTLZ2_D4_R02,4,3,129,1,0,0,130,129,0
C2DTLZ2_D4_R02,4,4,127,3,0,0,130,127,0
C2DTLZ2_D4_R02,4,5,115,5,0,10,130,115,10
C2DTLZ2_D6_R02,6,1,88,4,0,38,130,88,38
C2DTLZ2_D6_R02,6,2,0,0,130,0,130,0,130
C2DTLZ2_D6_R02,6,3,55,0,74,1,130,55,75
C2DTLZ2_D6_R02,6,4,0,0,130,0,130,0,130
C2DTLZ2_D6_R02,6,5,9,0,121,0,130,9,121
MW7_D4,4,1,123,6,0,1,130,123,1
MW7_D4,4,2,127,3,0,0,130,127,0
MW7_D4,4,3,102,6,22,0,130,102,22
MW7_D4,4,4,96,4,18,12,130,96,30
MW7_D4,4,5,130,0,0,0,130,130,0
MW7_D6,6,1,22,0,97,11,130,22,108
MW7_D6,6,2,117,2,0,11,130,117,11
MW7_D6,6,3,21,0,109,0,130,21,109
MW7_D6,6,4,95,3,6,26,130,95,32
MW7_D6,6,5,86,5,5,34,130,86,39
