metric,value
iteration,20
training_observations,39
pof_power,1.0
epsilon,0.017745736227016404
selected_x1,0.3376119891719861
selected_x2,0.5776076022449429
selected_pof,0.7317501793642093
selected_sampled_hvi,0.0800340190386756
selected_acquisition,0.07155035345385861
maximum_pof,1.0
hvi_at_maximum_pof_candidate,0.0
maximum_sampled_hvi,4.733753039537332
pof_at_maximum_hvi_candidate,0.0
maximum_validation_residual_pof,7.993605777301127e-15
maximum_validation_residual_sampled_hvi,2.9949376312288223e-12
maximum_validation_residual_design_mask,1.1102230246251565e-16
maximum_validation_residual_codomain_mask,4.8324566570556726e-11
maximum_validation_residual_acquisition,2.45629905304412e-13
