Dimension,MaxDet01,MaxSimplexHV,Log10HV
1,1,1,0
2,1,0.5,-0.301029995663981
3,2,0.333333333333333,-0.477121254719662
4,3,0.125,-0.903089986991944
5,5,0.0416666666666667,-1.38021124171161
6,9,0.0125,-1.90308998699194
7,32,0.00634920634920635,-2.19728055812562
8,56,0.00138888888888889,-2.85733249643127
9,144,0.000396825396825397,-3.40140054078154
10,320,8.81834215167549e-05,-4.05461305455689
11,1458,3.6525974025974e-05,-4.43739819405306
12,3645,7.60957792207792e-06,-5.11863943142865
13,9477,1.52191558441558e-06,-5.81760943576467
14,25515,2.92676073926074e-07,-6.53361277939947
15,131072,1.00232904465709e-07,-6.99898968483572
16,327680,1.5661391322767e-08,-7.80516965881961
17,1114112,3.1322782645534e-09,-8.50413966315562
18,3411968,5.32922343621932e-10,-9.27333607088634
19,19531250,1.60559282160631e-10,-9.79436458218956
20,56640625,2.32810959132916e-11,-10.6329965799546
